,Hotel_Names,Address,City,Ratings,Votes,Prices,Features
0,Flagship Malkajgiri,Malkajgiri,['Hyderabad'],['4.3'],['2269'],₹699, Parking facility  Reception  Free Wifi  
1,OYO Flagship Hotel Lavish Stay,New Santoshnagar,['Hyderabad'],['4.3'],['23'],₹582, Free Wifi  Geyser  Power backup  
2,OYO Flagship Hotel Shazeb International,Telangana,['Hyderabad'],['3.7'],['17'],₹699, Elevator  Free Wifi  Geyser  
3,Collection O Hotel Rbs Kothapet-nagole Road,,['Hyderabad'],['5.0'],['7'],₹699, Elevator  Free Wifi  Geyser  
4,OYO Flagship 80983G RBS Square Langer Houz,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.9'],['98'],₹699, Free Wifi  Geyser  Power backup  
5,SPOT ON Apsara Hotel,#5-4-467 opp Revenue board  Nampally Station Road,['Hyderabad'],['4.1'],['51'],₹719, Elevator  Free Wifi  Geyser  
6,OYO Flagship 80484G Hotel Srinivasa Grand ,Abids South,['Hyderabad'],['3.4'],['32'],₹649, Elevator  Geyser  Power backup  
7,Super OYO Flagship 81498 New Shiridi Crystal,Hyderabad,"['Hyderabad', 'Hyderabad']",['3.0'],['33'],₹699, Free Wifi  Geyser  Power backup  
8,Collection O Hotel V Square ,"Near Nampally Metro Station, Abids South",['Hyderabad'],['2.8'],['111'],₹699, Elevator  Reception  Free Wifi  
9,SPOT ON Mohit Gokul Lodge New Room's Near Snow World,Near To Secunderbad East Metro Rail Station,['Hyderabad'],['3.4'],['770'],₹469, Parking facility  Reception  Free Wifi  
10,OYO Flagship Raga Stays Mee Seva Road,Chaitanyapuri,['Hyderabad'],['3.7'],['114'],₹710, Geyser  Power backup  AC  
11,Capital O Hotel Samrat Palace Near Nampally Station,Abids,['Hyderabad'],['2.8'],['175'],₹627, Reception  Free Wifi  Caretaker  
12,OYO Hotel Hyderabad Continental,"Near Tarakarama Theatre, Sultan Bazar",['Hyderabad'],['4.2'],['1466'],₹861, TV  King Sized Bed  Free Wifi  
13,Flagship Royal Galaxy Lodge Near Charminar,,['Hyderabad'],['3.5'],['55'],₹699, AC  TV 
14,Collection O High Way Grand Luxury Rooms ,Chandrapuri Colony,['Hyderabad'],['5.0'],['1'],₹1001, Elevator  Free Wifi  Geyser  
15,Collection O Hotel Virat Grand,Vivekananda Colony,['Hyderabad'],['4.4'],['28'],₹1422, Elevator  Free Wifi  Geyser  
16,OYO Flagship Hanuma Resdiceny,plot no 1-212 Malkajgiri Road . Geeta Nagar Hyderabad,['Hyderabad'],['3.2'],['14'],₹699, Elevator  Free Wifi  Geyser  
17,Collection O Hotel Pnr International Mehdipatnam,Hyderabad,"['Hyderabad', 'Hyderabad']",['4.5'],['269'],₹1051, Elevator  Free Wifi  Geyser  
18,Super OYO Hotel Holiday Rani Gunj Opp Punjab national bank,"M.G Road, Near Rani Gunj X road, Opp. Punjab National Bank, Secunderabad",['Hyderabad'],['4.3'],['1360'],₹1039, Reception  Free Wifi  Power backup  
19,OYO Hanuma Residency Near victoria Memorial metro station,Behind OZONE Hospital,[],['4.5'],['1035'],₹898, Hair Dryer  Parking facility  Reception  
20,Capital O The City Park Near Nampally Railway station,"Near The City Park, Chirag AlicLane",['Hyderabad'],['3.1'],['926'],₹963, Reception  Free Wifi  Power backup  
21,SPOT ON Hotel Rk Residency Near MGBS Bus station,"Near Jaam Bagh, Hindustani Lane",['Hyderabad'],['3.4'],['391'],₹460, AC  TV  AC  
22,"OYO Townhouse 710 Hotel Regal Near ISKON TEMPLE , ABIDS","Nampally station road, Adj Lane Metro Foot Wear, Opp. Iskcon Temple, Abids,  Hyderabad, Telangana, 500001",['Hyderabad'],['3.0'],['511'],₹1087, Parking facility  Elevator  Free Wifi  
23,OYO Hotel Srujana Stay Inn Opp Public Gardens Nampally,Nampally,['Hyderabad'],['3.9'],['879'],₹1096, Elevator  Free Wifi  Geyser  
24,Super OYO Collection O RCC Pristine,Ameerpet,['Hyderabad'],['4.6'],['1740'],₹1617, Parking facility  Reception  Free Wifi  
25,park 9,Punjagutta,['Hyderabad'],['1.9'],['75'],₹699, Free Wifi  Geyser  Power backup  
26,OYO Nav Bharath Residency Near Koti Center,"Near Central Gurudwara Saheb, Gowliguda",['Hyderabad'],['4.3'],['1010'],₹1035, Reception  Free Wifi  Power backup  
27,OYO Hotel Aroma Classic Near Nampally Railway station,15-1-309 Feelkhana Near Acharaya Bhavan Baba Ramdav Mandir Bagum Bazar Hyderabad,"['Hyderabad', 'Hyderabad']",['4.0'],['607'],₹720, Reception  Public washroom  Free Wifi  
28,Capital O Hotel Vaishnavi,"Near Csi Wesley Church, Paras Towers",['Hyderabad'],['4.3'],['931'],₹1450, Reception  Free Wifi  24/7 check-in  
29,OYO Home Royal Stay,"Near Mynteramall, Ashoke Vihar 2 Colony",['Hyderabad'],['0.0'],['0'],₹576, Parking facility  Free Wifi  Power backup  
30,Super OYO Collection O 15141 Townvilla Guest House,Hyderabad,"['Hyderabad', 'Hyderabad']",['4.8'],['1444'],₹1615, 24x7 Facility Manager  Free Wifi  Geyser  
31,OYO Flagship Royal Stay Homes Near Asian Mall Attapur,"Attapur,Hyderabad",['Hyderabad'],['4.8'],['184'],₹910, AC  TV 
